CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster,Segment
40,Female,20,37,75,2,"Low Income, Low Spending"
41,Female,65,38,35,4,"Moderate Income, Moderate Spending"
42,Male,24,38,92,2,"Low Income, Low Spending"
43,Male,48,39,36,4,"Moderate Income, Moderate Spending"
44,Female,31,39,61,0,"Low Income, High Spending"
45,Female,49,39,28,4,"Moderate Income, Moderate Spending"
46,Female,24,39,65,2,"Low Income, Low Spending"
47,Female,50,40,55,0,"Low Income, High Spending"
48,Female,27,40,47,0,"Low Income, High Spending"
49,Female,29,40,42,0,"Low Income, High Spending"
50,Female,31,40,42,0,"Low Income, High Spending"
51,Female,49,42,52,0,"Low Income, High Spending"
52,Male,33,42,60,0,"Low Income, High Spending"
53,Female,31,43,54,0,"Low Income, High Spending"
54,Male,59,43,60,0,"Low Income, High Spending"
55,Female,50,43,45,0,"Low Income, High Spending"
56,Male,47,43,41,0,"Low Income, High Spending"
57,Female,51,44,50,0,"Low Income, High Spending"
58,Male,69,44,46,0,"Low Income, High Spending"
59,Female,27,46,51,0,"Low Income, High Spending"
60,Male,53,46,46,0,"Low Income, High Spending"
61,Male,70,46,56,0,"Low Income, High Spending"
62,Male,19,46,55,0,"Low Income, High Spending"
63,Female,67,47,52,0,"Low Income, High Spending"
64,Female,54,47,59,0,"Low Income, High Spending"
65,Male,63,48,51,0,"Low Income, High Spending"
66,Male,18,48,59,0,"Low Income, High Spending"
67,Female,43,48,50,0,"Low Income, High Spending"
68,Female,68,48,48,0,"Low Income, High Spending"
69,Male,19,48,59,0,"Low Income, High Spending"
70,Female,32,48,47,0,"Low Income, High Spending"
71,Male,70,49,55,0,"Low Income, High Spending"
72,Female,47,49,42,0,"Low Income, High Spending"
73,Female,60,50,49,0,"Low Income, High Spending"
74,Female,60,50,56,0,"Low Income, High Spending"
75,Male,59,54,47,0,"Low Income, High Spending"
76,Male,26,54,54,0,"Low Income, High Spending"
77,Female,45,54,53,0,"Low Income, High Spending"
78,Male,40,54,48,0,"Low Income, High Spending"
79,Female,23,54,52,0,"Low Income, High Spending"
80,Female,49,54,42,0,"Low Income, High Spending"
81,Male,57,54,51,0,"Low Income, High Spending"
82,Male,38,54,55,0,"Low Income, High Spending"
83,Male,67,54,41,0,"Low Income, High Spending"
84,Female,46,54,44,0,"Low Income, High Spending"
85,Female,21,54,57,0,"Low Income, High Spending"
86,Male,48,54,46,0,"Low Income, High Spending"
87,Female,55,57,58,0,"Low Income, High Spending"
88,Female,22,57,55,0,"Low Income, High Spending"
89,Female,34,58,60,0,"Low Income, High Spending"
90,Female,50,58,46,0,"Low Income, High Spending"
91,Female,68,59,55,0,"Low Income, High Spending"
92,Male,18,59,41,0,"Low Income, High Spending"
93,Male,48,60,49,0,"Low Income, High Spending"
94,Female,40,60,40,0,"Low Income, High Spending"
95,Female,32,60,42,0,"Low Income, High Spending"
96,Male,24,60,52,0,"Low Income, High Spending"
97,Female,47,60,47,0,"Low Income, High Spending"
98,Female,27,60,50,0,"Low Income, High Spending"
99,Male,48,61,42,0,"Low Income, High Spending"
100,Male,20,61,49,0,"Low Income, High Spending"
101,Female,23,62,41,0,"Low Income, High Spending"
102,Female,49,62,48,0,"Low Income, High Spending"
103,Male,67,62,59,0,"Low Income, High Spending"
104,Male,26,62,55,0,"Low Income, High Spending"
105,Male,49,62,56,0,"Low Income, High Spending"
106,Female,21,62,42,0,"Low Income, High Spending"
107,Female,66,63,50,0,"Low Income, High Spending"
108,Male,54,63,46,0,"Low Income, High Spending"
109,Male,68,63,43,0,"Low Income, High Spending"
110,Male,66,63,48,0,"Low Income, High Spending"
111,Male,65,63,52,0,"Low Income, High Spending"
112,Female,19,63,54,0,"Low Income, High Spending"
113,Female,38,64,42,0,"Low Income, High Spending"
114,Male,19,64,46,0,"Low Income, High Spending"
115,Female,18,65,48,0,"Low Income, High Spending"
116,Female,19,65,50,0,"Low Income, High Spending"
117,Female,63,65,43,0,"Low Income, High Spending"
118,Female,49,65,59,0,"Low Income, High Spending"
119,Female,51,67,43,0,"Low Income, High Spending"
120,Female,50,67,57,0,"Low Income, High Spending"
121,Male,27,67,56,0,"Low Income, High Spending"
122,Female,38,67,40,0,"Low Income, High Spending"
123,Female,40,69,58,0,"Low Income, High Spending"
124,Male,39,69,91,1,"High Income, High Spending"
125,Female,23,70,29,3,"High Income, Low Spending"
126,Female,31,70,77,1,"High Income, High Spending"
127,Male,43,71,35,0,"Low Income, High Spending"
128,Male,40,71,95,1,"High Income, High Spending"
129,Male,59,71,11,3,"High Income, Low Spending"
130,Male,38,71,75,1,"High Income, High Spending"
131,Male,47,71,9,3,"High Income, Low Spending"
132,Male,39,71,75,1,"High Income, High Spending"
133,Female,25,72,34,0,"Low Income, High Spending"
134,Female,31,72,71,1,"High Income, High Spending"
135,Male,20,73,5,3,"High Income, Low Spending"
136,Female,29,73,88,1,"High Income, High Spending"
137,Female,44,73,7,3,"High Income, Low Spending"
138,Male,32,73,73,1,"High Income, High Spending"
139,Male,19,74,10,3,"High Income, Low Spending"
140,Female,35,74,72,1,"High Income, High Spending"
141,Female,57,75,5,3,"High Income, Low Spending"
142,Male,32,75,93,1,"High Income, High Spending"
143,Female,28,76,40,0,"Low Income, High Spending"
144,Female,32,76,87,1,"High Income, High Spending"
145,Male,25,77,12,3,"High Income, Low Spending"
146,Male,28,77,97,1,"High Income, High Spending"
147,Male,48,77,36,3,"High Income, Low Spending"
148,Female,32,77,74,1,"High Income, High Spending"
149,Female,34,78,22,3,"High Income, Low Spending"
150,Male,34,78,90,1,"High Income, High Spending"
151,Male,43,78,17,3,"High Income, Low Spending"
152,Male,39,78,88,1,"High Income, High Spending"
153,Female,44,78,20,3,"High Income, Low Spending"
154,Female,38,78,76,1,"High Income, High Spending"
155,Female,47,78,16,3,"High Income, Low Spending"
156,Female,27,78,89,1,"High Income, High Spending"
157,Male,37,78,1,3,"High Income, Low Spending"
158,Female,30,78,78,1,"High Income, High Spending"
159,Male,34,78,1,3,"High Income, Low Spending"
160,Female,30,78,73,1,"High Income, High Spending"
161,Female,56,79,35,3,"High Income, Low Spending"
162,Female,29,79,83,1,"High Income, High Spending"
163,Male,19,81,5,3,"High Income, Low Spending"
164,Female,31,81,93,1,"High Income, High Spending"
165,Male,50,85,26,3,"High Income, Low Spending"
166,Female,36,85,75,1,"High Income, High Spending"
167,Male,42,86,20,3,"High Income, Low Spending"
168,Female,33,86,95,1,"High Income, High Spending"
169,Female,36,87,27,3,"High Income, Low Spending"
170,Male,32,87,63,1,"High Income, High Spending"
171,Male,40,87,13,3,"High Income, Low Spending"
172,Male,28,87,75,1,"High Income, High Spending"
173,Male,36,87,10,3,"High Income, Low Spending"
174,Male,36,87,92,1,"High Income, High Spending"
175,Female,52,88,13,3,"High Income, Low Spending"
176,Female,30,88,86,1,"High Income, High Spending"
177,Male,58,88,15,3,"High Income, Low Spending"
178,Male,27,88,69,1,"High Income, High Spending"
179,Male,59,93,14,3,"High Income, Low Spending"
180,Male,35,93,90,1,"High Income, High Spending"
181,Female,37,97,32,3,"High Income, Low Spending"
182,Female,32,97,86,1,"High Income, High Spending"
183,Male,46,98,15,3,"High Income, Low Spending"
184,Female,29,98,88,1,"High Income, High Spending"
185,Female,41,99,39,3,"High Income, Low Spending"
186,Male,30,99,97,1,"High Income, High Spending"
187,Female,54,101,24,3,"High Income, Low Spending"
188,Male,28,101,68,1,"High Income, High Spending"
189,Female,41,103,17,3,"High Income, Low Spending"
190,Female,36,103,85,1,"High Income, High Spending"
191,Female,34,103,23,3,"High Income, Low Spending"
192,Female,32,103,69,1,"High Income, High Spending"
193,Male,33,113,8,3,"High Income, Low Spending"
194,Female,38,113,91,1,"High Income, High Spending"
195,Female,47,120,16,3,"High Income, Low Spending"
196,Female,35,120,79,1,"High Income, High Spending"
197,Female,45,126,28,3,"High Income, Low Spending"
198,Male,32,126,74,1,"High Income, High Spending"
199,Male,32,137,18,3,"High Income, Low Spending"
200,Male,30,137,83,1,"High Income, High Spending"
